Title,Author,Journal,Year,Added by,Added at,Status
Software for Improve the Security of Kubernetes-based CI/CD Pipeline,"Shevchuk, Ruslan and Karpinski, Mikolaj and Kasianchuk, Mykhailo and Yakymenko, Ihor and Melnyk, Andriy and Tykhyi, Roman","Proceedings - International Conference on Advanced Computer Information Technologies, ACIT",2023,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
Towards Practical Cybersecurity Mapping of STRIDE and CWE - A Multi-perspective Approach,"Honkaranta, Anne and Leppanen, Tiina and Costin, Andrei","Conference of Open Innovation Association, FRUCT",2021,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
Securing the Software Development Life Cycle,"Arildset, Anniken and Brynildsen, Celina Heimdal and Hestsveen, Sebastian and Urne, Thea",,2023,Marcelo Pinto,06 Feb 2024 20:54:41,Accepted
Comparison and Evaluation on Static Application Security Testing (SAST) Tools for Java,"Li, Kaixuan and Chen, Sen and Fan, Lingling and Feng, Ruitao and Liu, Han and Liu, Chengwei and Liu, Yang and Chen, Yixiang",,2023,Marcelo Pinto,06 Feb 2024 20:54:41,Accepted
Software Engineering Tools For Secure Application Development,"Bellamkonda, Divya",,2023,Marcelo Pinto,06 Feb 2024 20:54:41,Accepted
PRACTICAL CORE SOFTWARE SECURITY: A Reference Framework,"Ransome, James F. and Misra, Anmol and Merkow, Mark S.",Practical Core Software Security: A Reference Framework,2022,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Design and implementation of SFCI: A tool for security focused continuous integration,"Lescisin, Michael and Mahmoud, Qusay H. and Cioraca, Anca",Computers,2019,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
The Never-Ending Story: On the Need for Continuous Privacy Impact Assessment,"Sion, Laurens and Landuyt, Dimitri Van and Joosen, Wouter","Proceedings - 5th IEEE European Symposium on Security and Privacy Workshops, Euro S and PW 2020",2020,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Increasing developer awareness of Java secure coding in the industry: An approach ising serious games,"Casqueiro, Luís Afonso Maia Rosa and Gasiba, Tiago Espinha and Pinto-Albuquerque, Maria and Lechner, Ulrike",Handbook of Research on Gamification Dynamics and User Experience Design,2022,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Improving Attention to Security in Software Design with Analytics and Cognitive Techniques,"Whitmore, Jim and Tobin, William",2017 IEEE Cybersecurity Development (SecDev),2017,Marcelo Pinto,06 Feb 2024 20:54:41,Rejected
An Empirical Study on the Use of Static Analysis Tools in Open Source Embedded Software,"Shen, Mingjie and Pillai, Akul and Yuan, Brian A and Davis, James C and Machiry, Aravind",arXiv preprint arXiv:2310.00205,2023,Marcelo Pinto,06 Feb 2024 20:54:41,Accepted
Vulnerability exploration and understanding services,"Darabal, Kirtana",,2018,Marcelo Pinto,06 Feb 2024 20:54:41,Accepted
Guidelines on minimum standards for developer verification of software,"Black, Paul E and Guttman, Barbara and Okun, Vadim",arXiv preprint arXiv:2107.12850,2021,Marcelo Pinto,06 Feb 2024 20:54:41,Accepted
Generic SAST tool comparer,"Reigada, Alexandra de Barros",,2022,Marcelo Pinto,06 Feb 2024 20:54:41,Accepted
Enhancing Multi-cloud Security with Policy as Code and a Cloud Native Application Protection Platform,"Colotti, Manuel Enrique",,2023,Marcelo Pinto,06 Feb 2024 20:54:41,Rejected
A transformer-based GitHub Action for Vulnerability Detection,"do Nascimento, Andr{\'e} Filipe Meireles",,2023,Marcelo Pinto,06 Feb 2024 20:54:41,Accepted
IoTvulCode-AI-enabled vulnerability detection in software products designed for IoT applications,"Bhandari, Guru Prasad and Assres, Gebremariam and Gavric, Nikola and Shalaginov, Andrii and Gr{\o}nli, Tor-Morten",,2023,Marcelo Pinto,06 Feb 2024 20:54:41,Rejected
Static Analysis,"Brucker, Achim D",,,Marcelo Pinto,06 Feb 2024 20:54:41,Accepted
Kubernetes Near Real-Time Monitoring and Secure Network Architectures,"Mu{\~n}oz, Miguel {\'A}ngel L{\'o}pez",,2022,Marcelo Pinto,06 Feb 2024 20:54:41,Accepted
Automated Software Testing Starting from Static Analysis: Current State of the Art,"Wu, Yan and Su, Jingyi and Moran, David D and Near, Chris D",arXiv preprint arXiv:2301.06215,2023,Marcelo Pinto,06 Feb 2024 20:54:41,Accepted
Deliver uncompromised: A strategy for supply chain security and resilience in response to the changing character of war,"Nissen, Chris and Gronager, John and Metzger, Robert and Rishikof, Harvey",,2018,Marcelo Pinto,06 Feb 2024 20:54:41,Rejected
Requirements Analysis,"van Merode, Henry",,2023,Marcelo Pinto,06 Feb 2024 20:54:41,Rejected
Comparing capability of static analysis tools to detect security weaknesses in mobile applications,"Oyetoyan, Tosin Daniel and Chaim, Marcos",,2017,Marcelo Pinto,06 Feb 2024 20:54:41,Rejected
A Framework of DevSecOps for Software Development Teams,"Sapkota, Dinesh",,2023,Marcelo Pinto,06 Feb 2024 20:54:40,Accepted
A Competition Analysis of Software Assurance Tools,"Grigorian, Ashot A and Jansen, Slinger and Wagenaar, Gerard",,2022,Marcelo Pinto,06 Feb 2024 20:54:41,Rejected
"Aufstellen eines Qualit{\""a}tsmodells aus sicherheitskritischen Anforderungen realer Softwareprojekte","Huszar, Lena",,,Marcelo Pinto,06 Feb 2024 20:54:41,Rejected
DevSecOps: integraci{\'o}n de la seguridad en entornos CI/CD,"Padr{\'o}n Hern{\'a}ndez, Juan Jes{\'u}s",,2021,Marcelo Pinto,06 Feb 2024 20:54:41,Rejected
